rank,title,year,tmdb_id,notes
56,'Neath the Arizona Skies,1934,53830,John Wayne as Chris Morrell; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
57,Texas Terror,1935,22606,John Wayne as John Higgins; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
58,Rainbow Valley,1935,53781,John Wayne as John Martin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
59,The Desert Trail,1935,53624,John Wayne as John Scott posing as John Jones; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
60,The Dawn Rider,1935,53827,John Wayne as John Mason; aka Cold Vengeance; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
61,Paradise Canyon,1935,23286,John Wayne as John Wyatt posing as John Rogers; aka Guns Along The Trail; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
62,Westward Ho,1935,61985,John Wayne as John Wyatt aka John Allen; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
63,The New Frontier,1935,229401,John Wayne as John Dawson; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
64,Lawless Range,1935,84908,John Wayne as John Middleton; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
65,The Oregon Trail,1936,346888,John Wayne as Capt. John Delmont; A lost film; 40 stills were discovered in 2013; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
66,The Lawless Nineties,1936,121372,John Wayne as John Tipton; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
67,King of the Pecos,1936,84909,John Wayne as John Clayborn; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
68,The Lonely Trail,1936,190837,John Wayne as Captain John Ashley; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
69,Winds of the Wasteland,1936,40743,John Wayne as John Blair; aka Stagecoach Run; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
70,Sea Spoilers,1936,251908,John Wayne as Bob Randall; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
71,Conflict,1936,352239,John Wayne as Pat Glendon; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
72,California Straight Ahead!,1937,224054,John Wayne as Biff Smith; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
73,I Cover the War,1937,221080,John Wayne as Bob Adams; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
74,Idol of the Crowds,1937,112655,John Wayne as Johnny Hanson; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
75,Adventure's End,1937,355816,John Wayne as Duke Slade; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
76,Born to the West,1937,53574,John Wayne as Dare Rudd; aka Hell Town (reissue title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
77,Pals of the Saddle,1938,190958,"John Wayne as Stoney Brooke; The first of eight films in the ""Three Mesquiteers"" series; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB"
78,Overland Stage Raiders,1938,134231,John Wayne as Stoney Brooke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
79,Santa Fe Stampede,1938,85531,John Wayne as Stoney Brooke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
80,Red River Range,1938,134232,John Wayne as Stoney Brooke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
81,Stagecoach,1939,995,John Wayne as Ringo Kid; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
82,The Night Riders,1939,138291,John Wayne as Stoney Brooke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
83,Three Texas Steers,1939,140908,John Wayne as Stoney Brooke; aka Danger Rides the Range (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
84,Wyoming Outlaw,1939,181491,John Wayne as Stoney Brooke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
85,New Frontier,1939,53719,John Wayne as Stoney Brooke; aka Frontier Horizon; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
86,Allegheny Uprising,1939,43825,John Wayne as Jim Smith; aka The First Rebel (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
87,Dark Command,1940,40639,John Wayne as Bob Seton; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
88,Three Faces West,1940,40717,John Wayne as John Phillips; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
89,The Long Voyage Home,1940,52859,John Wayne as Olsen; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
90,Seven Sinners,1940,40979,John Wayne as Dan; aka Cafe of the Seven Sinners (UK re-issue title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
91,A Man Betrayed,1941,26321,John Wayne as Lynn Hollister; aka Citadel of Crime (UK title) and Wheel of Fortune (TV title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
92,Lady from Louisiana,1941,65506,John Wayne as John Reynolds; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
93,The Shepherd of the Hills,1941,43308,John Wayne as Young Matt Matthews; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
94,Lady for a Night,1942,40684,John Wayne as Jack Morgan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
95,Reap the Wild Wind,1942,63617,John Wayne as Capt. Jack Stuart; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
96,The Spoilers,1942,43785,John Wayne as Roy Glennister; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
97,In Old California,1942,40685,John Wayne as Tom Craig; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
98,Flying Tigers,1942,29372,John Wayne as Capt. Jim Gordon; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
99,Reunion in France,1942,28286,John Wayne as Pat Talbot; aka Mademoiselle France (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
100,Pittsburgh,1942,62186,John Wayne as Pittsburgh Markham; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
101,A Lady Takes a Chance,1943,65503,John Wayne as Duke Hudkins; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
102,In Old Oklahoma,1943,40719,John Wayne as Daniel F. Somers; aka War of the Wildcats (re-issue title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
103,The Fighting Seabees,1944,22994,John Wayne as Lt. Cmdr. Wedge Donovan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
104,Tall in the Saddle,1944,15264,John Wayne as Rocklin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
105,Flame of Barbary Coast,1944,40716,John Wayne as Duke Fergus; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
106,Back to Bataan,1945,19096,John Wayne as Col. Joseph Madden; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
107,They Were Expendable,1945,18771,John Wayne as Lt. (J.G.) 'Rusty' Ryan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
108,Dakota,1945,58455,John Wayne as John Devlin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
109,Without Reservations,1946,33077,John Wayne as Captain 'Rusty' Thomas; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
110,Angel and the Badman,1947,22356,John Wayne as Quirt Evans; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
111,Tycoon,1947,56930,John Wayne as Johnny; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
112,Red River,1948,3089,John Wayne as Thomas Dunson; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
113,Fort Apache,1948,37347,John Wayne as Capt. Kirby York; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
114,3 Godfathers,1948,29244,John Wayne as Robert Marmaduke Sangster Hightower; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
115,Wake of the Red Witch,1948,40718,John Wayne as Capt. Ralls; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
116,The Fighting Kentuckian,1949,15266,John Wayne as John Breen; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
117,She Wore a Yellow Ribbon,1949,13909,John Wayne as Capt. Nathan Cutting Brittles; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
118,Sands of Iwo Jima,1949,18712,John Wayne as Sgt. John M. Stryker; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
119,Rio Grande,1950,11617,John Wayne as Lt. Col. Kirby Yorke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
120,Operation Pacific,1951,40683,John Wayne as Lt Cmdr. Duke E. Gifford; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
121,Flying Leathernecks,1951,47555,John Wayne as Maj. Daniel Xavier Kirby; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
122,The Quiet Man,1952,3109,John Wayne as Sean Thornton; Also second unit director (uncredited); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
123,Big Jim McLain,1952,40715,John Wayne as Jim McLain; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
124,Trouble Along the Way,1953,40686,John Wayne as Steve Williams; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
125,Island in the Sky,1953,40577,John Wayne as Capt. Dooley; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
126,Hondo,1953,6529,John Wayne as Hondo Lane; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
127,The High and the Mighty,1954,17761,John Wayne as Officer Dan Roman; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
128,The Sea Chase,1955,40578,John Wayne as Capt. Karl Ehrlich; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
129,Blood Alley,1955,29377,John Wayne as Capt. Tom Wilder; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
130,The Conqueror,1956,24751,John Wayne as Temüjin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
131,The Searchers,1956,3114,John Wayne as Ethan Edwards; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
132,The Wings of Eagles,1957,46189,John Wayne as Frank W. 'Spig' Wead; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
133,Jet Pilot,1957,53906,John Wayne as Col. Jim Shannon; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
134,Legend of the Lost,1957,25848,John Wayne as Joe January; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
135,The Barbarian and the Geisha,1958,65590,John Wayne as Townsend Harris; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
136,Rio Bravo,1959,301,John Wayne as Sheriff John T. Chance; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
137,The Horse Soldiers,1959,17664,John Wayne as Col. John Marlowe; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
138,The Alamo,1960,11209,John Wayne as Col. Davy Crockett; Also director and producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
139,North to Alaska,1960,6523,John Wayne as Sam McCord; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
140,The Comancheros,1961,30462,John Wayne as Capt. Jake Cutter; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
141,The Man Who Shot Liberty Valance,1962,11697,John Wayne as Tom Doniphon; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
142,Hatari!,1962,11385,John Wayne as Sean Mercer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
143,The Longest Day,1962,9289,John Wayne as Lt. Col. Benjamin H. Vandervoort; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
144,How the West Was Won,1962,11897,John Wayne as Gen. William Tecumseh Sherman; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
145,Donovan's Reef,1963,15875,John Wayne as Michael Patrick 'Guns' Donovan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
146,McLintock!,1963,15263,John Wayne as George Washington 'G.W.' McLintock; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
147,Circus World,1964,42782,John Wayne as Matt Masters; aka The Magnificent Showman (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
148,The Greatest Story Ever Told,1965,2428,John Wayne as Centurion at Crucifixion; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
149,In Harm's Way,1965,37921,John Wayne as Rock; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
150,The Sons of Katie Elder,1965,16211,John Wayne as John Elder; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
151,Cast a Giant Shadow,1966,8737,John Wayne as Gen. Mike Randolph; Also co-executive producer (uncredited); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
152,El Dorado,1966,6644,John Wayne as Cole Thornton; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
153,The War Wagon,1967,27277,John Wayne as Taw Jackson; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
154,The Green Berets,1968,22377,John Wayne as Col. Mike Kirby; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
155,Hellfighters,1968,32726,John Wayne as Chance Buckman; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
156,True Grit,1969,17529,John Wayne as Rooster Cogburn; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
157,The Undefeated,1969,18972,John Wayne as Col. John Henry Thomas; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
158,No Substitute for Victory,1970,159768,John Wayne as Narrator; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
159,Chisum,1970,38765,John Wayne as John Chisum; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
160,Rio Lobo,1970,26593,John Wayne as Col. Cord McNally; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
161,"Swing Out, Sweet Land",1970,301204,John Wayne as Himself; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
162,Big Jake,1971,21717,John Wayne as Jacob McCandles; Also uncredited executive producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
163,The Cowboys,1972,15573,John Wayne as Wil Andersen; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
164,Cancel My Reservation,1972,126760,John Wayne as Himself; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
165,The Train Robbers,1973,40682,John Wayne as Lane; Also executive producer (uncredited); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
166,Cahill U.S. Marshal,1973,30708,John Wayne as J. D. Cahill; aka Cahill (UK title); also executive producer (uncredited); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
167,McQ,1974,26185,"John Wayne as Lieutenant Lon ""McQ"" McHugh; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB"
168,Brannigan,1975,27396,John Wayne as Lt. James Brannigan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
169,Rooster Cogburn,1975,17538,John Wayne as Rooster Cogburn; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
170,The Shootist,1976,12584,John Wayne as J.B. Books; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
171,Star Wars,1977,11,John Wayne as Garindan; Stock audio only; uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
