rank,title,year,tmdb_id,notes
25,A Century of Cinema,1994,649643,Nicolas Cage as Himself; Documentary; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
26,Kiss of Death,1995,6071,Nicolas Cage as Little Junior Brown; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
27,Leaving Las Vegas,1995,451,Nicolas Cage as Ben Sanderson; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
28,The Rock,1996,9802,Nicolas Cage as Stanley Goodspeed; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
29,Con Air,1997,1701,Nicolas Cage as Cameron Poe; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
30,Face/Off,1997,754,Nicolas Cage as Castor Troy / Sean Archer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
31,City of Angels,1998,795,Nicolas Cage as Seth; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
32,Snake Eyes,1998,8688,Nicolas Cage as Rick Santoro; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
33,8MM,1999,8224,Nicolas Cage as Tom Welles; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
34,Bringing Out the Dead,1999,8649,Nicolas Cage as Frank Pierce; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
35,Gone in 60 Seconds,2000,9679,Nicolas Cage as Memphis Raines; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
36,The Family Man,2000,5994,Nicolas Cage as Jack Campbell; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
37,Captain Corelli's Mandolin,2001,1722,Nicolas Cage as Captain Antonio Corelli; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
38,Christmas Carol: The Movie,2001,35257,Nicolas Cage as Jacob Marley; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
39,Windtalkers,2002,12100,Nicolas Cage as Joe Enders; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
40,Sonny,2002,28028,Nicolas Cage as Acid Yellow; Also director and producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
41,Adaptation,2002,2757,Nicolas Cage as Charlie Kaufman / Donald Kaufman; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
42,Matchstick Men,2003,7270,Nicolas Cage as Roy Waller; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
43,National Treasure,2004,2059,Nicolas Cage as Benjamin Franklin Gates; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
44,Lord of War,2005,1830,Nicolas Cage as Yuri Orlov; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
45,The Weather Man,2005,6963,Nicolas Cage as David Spritz; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
46,The Ant Bully,2006,9906,Nicolas Cage as Zoc; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
47,World Trade Center,2006,1852,Nicolas Cage as John McLoughlin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
48,The Wicker Man,2006,9708,Nicolas Cage as Edward Malus; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
49,Ghost Rider,2007,1250,Nicolas Cage as Johnny Blaze / Ghost Rider; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
50,Next,2007,1738,Nicolas Cage as Cris Johnson; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
51,National Treasure: Book of Secrets,2007,6637,Nicolas Cage as Benjamin Franklin Gates; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
52,Bangkok Dangerous,2008,13184,Nicolas Cage as Joe; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
53,Knowing,2009,13811,Nicolas Cage as John Koestler; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
54,G-Force,2009,19585,Nicolas Cage as Speckles; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
55,Bad Lieutenant: Port of Call New Orleans,2009,11699,Nicolas Cage as Terence McDonagh; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
56,Astro Boy,2009,16577,Nicolas Cage as Dr. Bill Tenma; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
57,Kick-Ass,2010,23483,Nicolas Cage as Damon Macready / Big Daddy; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
58,The Sorcerer's Apprentice,2010,27022,Nicolas Cage as Balthazar Blake; Also executive producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
59,Season of the Witch,2011,23047,Nicolas Cage as Behmen; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
60,Drive Angry,2011,47327,Nicolas Cage as John Milton; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
61,Seeking Justice,2011,74998,Nicolas Cage as Will Gerard; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
62,Trespass,2011,70578,Nicolas Cage as Kyle Miller; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
63,Ghost Rider: Spirit of Vengeance,2011,71676,Nicolas Cage as Johnny Blaze / Ghost Rider; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
64,Stolen,2012,127493,Nicolas Cage as Will Montgomery; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
65,The Croods,2013,49519,Nicolas Cage as Grug Crood; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
66,The Frozen Ground,2013,199373,Nicolas Cage as Sgt. Jack Halcombe; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
67,Joe,2013,157847,Nicolas Cage as Joe Ransom; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
68,Rage,2014,242310,Nicolas Cage as Paul Maguire; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
69,Outcast,2014,289720,Nicolas Cage as Gallain; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
70,Left Behind,2014,218043,Nicolas Cage as Rayford Steele; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
71,Dying of the Light,2014,297596,Nicolas Cage as Evan Lake; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
72,The Runner,2015,277546,Nicolas Cage as Colin Pryce; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
73,Pay the Ghost,2015,290637,Nicolas Cage as Mike Lawford; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
74,The Trust,2016,301608,Nicolas Cage as Stone; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
75,Dog Eat Dog,2016,354979,Nicolas Cage as Troy; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
76,Snowden,2016,302401,Nicolas Cage as Hank Forrester; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
77,USS Indianapolis: Men of Courage,2016,340945,Nicolas Cage as Captain McVay; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
78,Army of One,2016,336445,Nicolas Cage as Gary Faulkner; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
79,Arsenal,2017,388202,Nicolas Cage as Eddie King; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
80,Vengeance: A Love Story,2017,397415,Nicolas Cage as John Dromoor; Video on demand; also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
81,Inconceivable,2017,433630,Nicolas Cage as Brian; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
82,Mom and Dad,2017,401561,Nicolas Cage as Brent Ryan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
83,Mandy,2018,460885,Nicolas Cage as Red Miller; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
84,Looking Glass,2018,437375,Nicolas Cage as Ray; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
85,The Humanity Bureau,2018,456048,Nicolas Cage as Noah Kross; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
86,211,2018,500919,Nicolas Cage as Mike Chandler; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
87,Teen Titans Go! To the Movies,2018,474395,Nicolas Cage as Kal-El / Clark Kent / Superman; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
88,Spider-Man: Into the Spider-Verse,2018,324857,Nicolas Cage as Peter Parker / Spider-Man Noir; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
89,Between Worlds,2018,500921,Nicolas Cage as Joe Majors; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
90,"Love, Antosha",2019,565276,Nicolas Cage as Narrator; Voice role; documentary; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
91,A Score to Settle,2019,500922,Nicolas Cage as Frank Carver; Video on demand; also executive producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
92,Colour Out of Space,2019,548473,Nicolas Cage as Nathan Gardner; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
93,Running with the Devil,2019,523077,Nicolas Cage as The Cook; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
94,Kill Chain,2019,531299,Nicolas Cage as Araña; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
95,Primal,2019,500916,Nicolas Cage as Frank Walsh; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
96,Grand Isle,2019,560192,Nicolas Cage as Walter; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
97,Jiu Jitsu,2020,590706,Nicolas Cage as Wylie; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
98,The Croods: A New Age,2020,529203,Nicolas Cage as Grug Crood; Voice role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
99,Prisoners of the Ghostland,2021,523638,Nicolas Cage as Hero; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
100,Willy's Wonderland,2021,643586,Nicolas Cage as The Janitor; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
101,Pig,2021,635731,Nicolas Cage as Rob Feld; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
102,The Unbearable Weight of Massive Talent,2022,648579,"Nicolas Cage as Nick Cage / Nicky Cage; Also producer, credited as Nicolas Kim Coppola; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB"
103,Butcher's Crossing,2022,843846,Nicolas Cage as Miller; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
104,The Old Way,2023,872954,Nicolas Cage as Colton Briggs; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
105,Renfield,2023,649609,Nicolas Cage as Dracula; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
106,The Flash,2023,298618,Nicolas Cage as Clark Kent / Superman; Cameo; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
107,Sympathy for the Devil,2023,1030987,Nicolas Cage as The Passenger; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
108,The Retirement Plan,2023,866346,Nicolas Cage as Matt Robbins; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
109,Dream Scenario,2023,823482,Nicolas Cage as Paul Matthews; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
110,Arcadian,2024,1051896,Nicolas Cage as Paul; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
111,The Surfer,2024,1128655,Nicolas Cage as The Surfer; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
112,Longlegs,2024,1226578,Nicolas Cage as Dale Kobble / Longlegs; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
113,Gunslingers,2025,1293286,Nicolas Cage as Ben; Video on demand; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
114,The Carpenter's Son,2025,1286185,Nicolas Cage as The Carpenter; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
115,Madden,2026,1131943,Nicolas Cage as John Madden; Post-production; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
116,Spider-Man: Beyond the Spider-Verse,2027,911916,Nicolas Cage as Peter Parker / Spider-Man Noir; In-production; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
117,Lords of War,2027,1124006,Nicolas Cage as Yuri Orlov; Post-production; Also producer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
118,The Prince,,1303844,Nicolas Cage as The Pimp; Post-production; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
119,Fortitude,,1479857,Nicolas Cage as Duško Popov; Post-production; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
120,Best Pancakes in the County,,1615596,Nicolas Cage as S.O.B; Filming; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
